Day       Time  Rank  Score       Time  Rank  Score
  1   00:11:02  5395      0   00:33:32  3733      0
  2   00:26:02  5987      0   00:28:41  4889      0
  3   01:13:41  8281      0   01:51:00  8263      0
  4   00:15:57  6029      0   00:35:51  5540      0
  5   00:36:11  4096      0   01:39:28  3418      0
  6   00:12:06  3699      0   00:15:41  3090      0
  7   00:51:42  5747      0   01:19:47  5489      0
  8   00:16:25  4711      0   00:42:50  3062      0
  9   16:40:34  44581     0   17:10:29  44146     0

